Name,Value,Units,Notes
K_nCD8_pro,1000000000,cell,"half-maximal peripheral proliferation of of nCD8 (Braber 2012, PMID: 22365666)"
k_nCD8_death,0.003,1/day,"rate of nCD8 death (Braber 2012, PMID: 22365666)"
k_CD8,0.1,1/day,"Rate of T cell exhaustion by cancer cells (estimated)"
k_C_CD8,0.9,1/day,"Rate of cancer cell death by T cells (Robertson-Tessi 2012, PMID: 22051568)"
k_Tcell_ECM,0.1,1/day,"Rate of T cell exhaustion by ECM(Fitted to Ma 2022 single cell data Texh fraction of all CD8+ T cell)"
H_ECM_T_mot,0.253005652235026,dimensionless,"Hill function for reduced cancer killing due to decreased T cell motility "
H_ECM_T_exh,0.144823394854545,dimensionless,"Hill function for ECM mediated T cell exhaustion"
k_IFNg_Tsec,1e-08,nanomole/cell/day,"rate of IFNg secretion from CD8 T cells (Autenshlyus 2021, PMID: 34059727; Borj 2017, doi:10.15171/ijbms.2017.05)"
H_P1,0.977434247453636,dimensionless,"Hill function of tumor antigen P1"
K_T_C,1.2,dimensionless,"Dependence of Teff killing rate on Teff/C ratio (Robertson-Tessi 2012, PMID: 22051568)"
K_T_Treg,11,dimensionless,"Dependence of Teff killing rate on Teff/Treg ratio (Robertson-Tessi 2012, PMID: 22051568)"
k_APC_mat,1,1/day,"Maximum rate of APC maturation (Chen 2014, PMID: 25184733)"
k_APC_mig,0.2,1/day,"Rate of APC migration (Russo Halin 2016, PMID: 26876174)"
k_APC_death,0.3,1/day,"Rate of APC death (Marino and Kirschner 2004, PMID: 15038983)"
k_mAPC_death,0.7,1/day,"Rate of mAPC death(Marino and Kirschner 2004, PMID: 15038983)"
APC0_T,1000,cell/milliliter,"Steady state density of CD103+ APCs in the tumor, calculated to fit basal APC equal to 26000/cm^3 from (Lavin 2017, PMID: 28475900)"
APC0_LN,120000,cell/milliliter,"Steady state density of all APC subtypes in the LN (Catron 2004, PMID: 15357945)- divided by 10 to only take CD103+ based on (Lavin 2017, PMID: 28475900)"
n_sites_APC,5,dimensionless,"Maxium number of T Cells an APC can interact with (De Boer and Perelson 1995, PMID: 7475092)"
kin,14.4,1/day,"Rate of MHC internalization (Chen 2014, PMID: 25184733)"
kout,28.8,1/day,"Rate of MHC externalization (Chen 2014, PMID: 25184733)"
k_P0_up,14.4,1/day/cell,"Rate of antigen uptake by APCs (Chen 2014, PMID: 25184733)"
k_xP0_deg,2,1/day,"Rate of extracellular antigen degradation (Palsson 2013, PMID: 24074340)"
k_P0_deg,17.28,1/day,"Rate of endosomal antigen degradation (Chen 2014, PMID: 25184733)"
k_p0_deg,144,1/day,"Rate of endosomal epitope degradation (Chen 2014, PMID: 25184733)"
k_P0_on,144000,1/day/molarity,"Rate of antigen-MHC binding (Agrawal and Linderman 1996, PMID: 8944895)"
k_P0_d1,1e-07,molarity,"Antigen-MHC kd (Stone 2015, PMID: 25618219)"
p0_50,2.64550264550265e-05,molecule/micrometer^2,"calculated based on the number of molecules for half-maximal T cell activation (Kimachi 1997, PMID: 9464819) and synapse surface area"
P0_C1,5.4e-13,mole/cell,"Concentration of P0 in C1 (estimated by 2.7e6 proteins/um^3 in a cancer cell (Milo 2013, PMID: 24114984) * cancer cell volume / Avogadro constant)"
