Parameter,Reaction,ReactionRate,Rule,RuleType,OtherParameters,OtherSpeciesWithNotes
kon_CD80_CD80,syn_CD8_C1.CD80m + syn_CD8_C1.CD80m <-> syn_CD8_C1.CD80,kon_CD80_CD80*(syn_CD8_C1.CD80m)*(syn_CD8_C1.CD80m) - koff_CD80_CD80*syn_CD8_C1.CD80,,,"['koff_CD80_CD80']","[{""name"":""syn_CD8_C1.CD80"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80 dimer in synapse""},{""name"":""syn_CD8_C1.CD80m"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80 monomer in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_CD80_CD80,syn_M_C.CD80m + syn_M_C.CD80m <-> syn_M_C.CD80,kon_CD80_CD80*(syn_M_C.CD80m)*(syn_M_C.CD80m) - koff_CD80_CD80*syn_M_C.CD80,,,"['koff_CD80_CD80']","[{""name"":""syn_M_C.CD80"",""compartment"":""syn_M_C"",""notes"":""concentration of CD80 in synapse""},{""name"":""syn_M_C.CD80m"",""compartment"":""syn_M_C"",""notes"":""concentration of CD80 monomer in synapse""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
kon_CD80_PDL1,syn_CD8_APC.CD80m + syn_CD8_APC.PDL1 <-> syn_CD8_APC.PDL1_CD80,kon_CD80_PDL1*(syn_CD8_APC.CD80m)*(syn_CD8_APC.PDL1)  -  koff_CD80_PDL1*syn_CD8_APC.PDL1_CD80,,,"['koff_CD80_PDL1']","[{""name"":""syn_CD8_APC.CD80m"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD80 monomer in synapse""},{""name"":""syn_CD8_APC.PDL1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_CD8_APC.PDL1_CD80"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1-CD80 complex""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_CD80_PDL1,syn_CD8_C1.CD80m + syn_CD8_C1.PDL1 <-> syn_CD8_C1.PDL1_CD80,kon_CD80_PDL1*(syn_CD8_C1.CD80m)*(syn_CD8_C1.PDL1)  -  koff_CD80_PDL1*syn_CD8_C1.PDL1_CD80,,,"['koff_CD80_PDL1']","[{""name"":""syn_CD8_C1.CD80m"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80 monomer in synapse""},{""name"":""syn_CD8_C1.PDL1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_CD8_C1.PDL1_CD80"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1-CD80 complex""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_CD80_PDL1,syn_M_C.CD80m + syn_M_C.PDL1 <-> syn_M_C.PDL1_CD80,kon_CD80_PDL1*(syn_M_C.CD80m)*(syn_M_C.PDL1)  -  koff_CD80_PDL1*syn_M_C.PDL1_CD80,,,"['koff_CD80_PDL1']","[{""name"":""syn_M_C.CD80m"",""compartment"":""syn_M_C"",""notes"":""concentration of CD80 monomer in synapse""},{""name"":""syn_M_C.PDL1"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_M_C.PDL1_CD80"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL1-CD80 complex""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD80,syn_CD8_APC.CD80 + syn_CD8_APC.CTLA4_CD80_CTLA4 <-> syn_CD8_APC.CD80_CTLA4_CD80_CTLA4,4*kon_CTLA4_CD80*(syn_CD8_APC.CD80)*(syn_CD8_APC.CTLA4_CD80_CTLA4)  -  koff_CTLA4_CD80*syn_CD8_APC.CD80_CTLA4_CD80_CTLA4,,,"['koff_CTLA4_CD80']","[{""name"":""syn_CD8_APC.CD80"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD80 dimer in synapse""},{""name"":""syn_CD8_APC.CD80_CTLA4_CD80_CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD80-CTLA4-CD80-CTLA4 complex""},{""name"":""syn_CD8_APC.CTLA4_CD80_CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4-CD80-CTLA4 complex""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD80,syn_CD8_APC.CD80_CTLA4 + syn_CD8_APC.CD80 <-> syn_CD8_APC.CD80_CTLA4_CD80,2*kon_CTLA4_CD80*(syn_CD8_APC.CD80_CTLA4)*(syn_CD8_APC.CD80)  -  2*koff_CTLA4_CD80*syn_CD8_APC.CD80_CTLA4_CD80,,,"['koff_CTLA4_CD80']","[{""name"":""syn_CD8_APC.CD80"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD80 dimer in synapse""},{""name"":""syn_CD8_APC.CD80_CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD80-CTLA4 complex""},{""name"":""syn_CD8_APC.CD80_CTLA4_CD80"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD80-CTLA4-CD80 complex""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD80,syn_CD8_APC.CTLA4 + syn_CD8_APC.CD80 <-> syn_CD8_APC.CD80_CTLA4,4*kon_CTLA4_CD80*(syn_CD8_APC.CTLA4)*(syn_CD8_APC.CD80)  -  koff_CTLA4_CD80*syn_CD8_APC.CD80_CTLA4,,,"['koff_CTLA4_CD80']","[{""name"":""syn_CD8_APC.CD80"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD80 dimer in synapse""},{""name"":""syn_CD8_APC.CD80_CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD80-CTLA4 complex""},{""name"":""syn_CD8_APC.CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD80,syn_CD8_APC.CTLA4 + syn_CD8_APC.CD80_CTLA4 <-> syn_CD8_APC.CTLA4_CD80_CTLA4,2*kon_CTLA4_CD80*(syn_CD8_APC.CTLA4)*(syn_CD8_APC.CD80_CTLA4)  -  2*koff_CTLA4_CD80*syn_CD8_APC.CTLA4_CD80_CTLA4,,,"['koff_CTLA4_CD80']","[{""name"":""syn_CD8_APC.CD80_CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD80-CTLA4 complex""},{""name"":""syn_CD8_APC.CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_APC.CTLA4_CD80_CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4-CD80-CTLA4 complex""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD80,syn_CD8_APC.CTLA4 + syn_CD8_APC.CD80_CTLA4_CD80 <-> syn_CD8_APC.CD80_CTLA4_CD80_CTLA4,4*kon_CTLA4_CD80*(syn_CD8_APC.CTLA4)*(syn_CD8_APC.CD80_CTLA4_CD80)  -  koff_CTLA4_CD80*syn_CD8_APC.CD80_CTLA4_CD80_CTLA4,,,"['koff_CTLA4_CD80']","[{""name"":""syn_CD8_APC.CD80_CTLA4_CD80"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD80-CTLA4-CD80 complex""},{""name"":""syn_CD8_APC.CD80_CTLA4_CD80_CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD80-CTLA4-CD80-CTLA4 complex""},{""name"":""syn_CD8_APC.CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD80,syn_CD8_APC.PDL1_CD80 + syn_CD8_APC.CTLA4 <-> syn_CD8_APC.PDL1_CD80_CTLA4,2*kon_CTLA4_CD80*(syn_CD8_APC.PDL1_CD80)*(syn_CD8_APC.CTLA4)  - koff_CTLA4_CD80*syn_CD8_APC.PDL1_CD80_CTLA4,,,"['koff_CTLA4_CD80']","[{""name"":""syn_CD8_APC.CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_APC.PDL1_CD80"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1-CD80 complex""},{""name"":""syn_CD8_APC.PDL1_CD80_CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1-CD80-CTLA4 complex""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD80,syn_CD8_C1.CD80 + syn_CD8_C1.CTLA4_CD80_CTLA4 <-> syn_CD8_C1.CD80_CTLA4_CD80_CTLA4,4*kon_CTLA4_CD80*(syn_CD8_C1.CD80)*(syn_CD8_C1.CTLA4_CD80_CTLA4)  -  koff_CTLA4_CD80*syn_CD8_C1.CD80_CTLA4_CD80_CTLA4,,,"['koff_CTLA4_CD80']","[{""name"":""syn_CD8_C1.CD80"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80 dimer in synapse""},{""name"":""syn_CD8_C1.CD80_CTLA4_CD80_CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80-CTLA4-CD80-CTLA4 complex""},{""name"":""syn_CD8_C1.CTLA4_CD80_CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4-CD80-CTLA4 complex""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD80,syn_CD8_C1.CD80_CTLA4 + syn_CD8_C1.CD80 <-> syn_CD8_C1.CD80_CTLA4_CD80,2*kon_CTLA4_CD80*(syn_CD8_C1.CD80_CTLA4)*(syn_CD8_C1.CD80)  -  2*koff_CTLA4_CD80*syn_CD8_C1.CD80_CTLA4_CD80,,,"['koff_CTLA4_CD80']","[{""name"":""syn_CD8_C1.CD80"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80 dimer in synapse""},{""name"":""syn_CD8_C1.CD80_CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80-CTLA4 complex""},{""name"":""syn_CD8_C1.CD80_CTLA4_CD80"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80-CTLA4-CD80 complex""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD80,syn_CD8_C1.CTLA4 + syn_CD8_C1.CD80 <-> syn_CD8_C1.CD80_CTLA4,4*kon_CTLA4_CD80*(syn_CD8_C1.CTLA4)*(syn_CD8_C1.CD80)  -  koff_CTLA4_CD80*syn_CD8_C1.CD80_CTLA4,,,"['koff_CTLA4_CD80']","[{""name"":""syn_CD8_C1.CD80"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80 dimer in synapse""},{""name"":""syn_CD8_C1.CD80_CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80-CTLA4 complex""},{""name"":""syn_CD8_C1.CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD80,syn_CD8_C1.CTLA4 + syn_CD8_C1.CD80_CTLA4 <-> syn_CD8_C1.CTLA4_CD80_CTLA4,2*kon_CTLA4_CD80*(syn_CD8_C1.CTLA4)*(syn_CD8_C1.CD80_CTLA4)  -  2*koff_CTLA4_CD80*syn_CD8_C1.CTLA4_CD80_CTLA4,,,"['koff_CTLA4_CD80']","[{""name"":""syn_CD8_C1.CD80_CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80-CTLA4 complex""},{""name"":""syn_CD8_C1.CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_C1.CTLA4_CD80_CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4-CD80-CTLA4 complex""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD80,syn_CD8_C1.CTLA4 + syn_CD8_C1.CD80_CTLA4_CD80 <-> syn_CD8_C1.CD80_CTLA4_CD80_CTLA4,4*kon_CTLA4_CD80*(syn_CD8_C1.CTLA4)*(syn_CD8_C1.CD80_CTLA4_CD80)  -  koff_CTLA4_CD80*syn_CD8_C1.CD80_CTLA4_CD80_CTLA4,,,"['koff_CTLA4_CD80']","[{""name"":""syn_CD8_C1.CD80_CTLA4_CD80"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80-CTLA4-CD80 complex""},{""name"":""syn_CD8_C1.CD80_CTLA4_CD80_CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80-CTLA4-CD80-CTLA4 complex""},{""name"":""syn_CD8_C1.CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD80,syn_CD8_C1.PDL1_CD80 + syn_CD8_C1.CTLA4 <-> syn_CD8_C1.PDL1_CD80_CTLA4,2*kon_CTLA4_CD80*(syn_CD8_C1.PDL1_CD80)*(syn_CD8_C1.CTLA4)  - koff_CTLA4_CD80*syn_CD8_C1.PDL1_CD80_CTLA4,,,"['koff_CTLA4_CD80']","[{""name"":""syn_CD8_C1.CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_C1.PDL1_CD80"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1-CD80 complex""},{""name"":""syn_CD8_C1.PDL1_CD80_CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1-CD80-CTLA4 complex""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD86,syn_CD8_APC.CD86_CTLA4 + syn_CD8_APC.CD86 <-> syn_CD8_APC.CD86_CTLA4_CD86,kon_CTLA4_CD86*(syn_CD8_APC.CD86_CTLA4)*(syn_CD8_APC.CD86)  -  2*koff_CTLA4_CD86*syn_CD8_APC.CD86_CTLA4_CD86,,,"['koff_CTLA4_CD86']","[{""name"":""syn_CD8_APC.CD86"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD86 in synapse""},{""name"":""syn_CD8_APC.CD86_CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD86-CTLA4 complex""},{""name"":""syn_CD8_APC.CD86_CTLA4_CD86"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD86-CTLA4-CD86 complex""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD86,syn_CD8_APC.CTLA4 + syn_CD8_APC.CD86 <-> syn_CD8_APC.CD86_CTLA4,2*kon_CTLA4_CD86*(syn_CD8_APC.CTLA4)*(syn_CD8_APC.CD86)  -  koff_CTLA4_CD86*syn_CD8_APC.CD86_CTLA4,,,"['koff_CTLA4_CD86']","[{""name"":""syn_CD8_APC.CD86"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD86 in synapse""},{""name"":""syn_CD8_APC.CD86_CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD86-CTLA4 complex""},{""name"":""syn_CD8_APC.CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD86,syn_CD8_C1.CD86_CTLA4 + syn_CD8_C1.CD86 <-> syn_CD8_C1.CD86_CTLA4_CD86,kon_CTLA4_CD86*(syn_CD8_C1.CD86_CTLA4)*(syn_CD8_C1.CD86)  -  2*koff_CTLA4_CD86*syn_CD8_C1.CD86_CTLA4_CD86,,,"['koff_CTLA4_CD86']","[{""name"":""syn_CD8_C1.CD86"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD86 in synapse""},{""name"":""syn_CD8_C1.CD86_CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD86-CTLA4 complex""},{""name"":""syn_CD8_C1.CD86_CTLA4_CD86"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD86-CTLA4-CD86 complex""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_CD86,syn_CD8_C1.CTLA4 + syn_CD8_C1.CD86 <-> syn_CD8_C1.CD86_CTLA4,2*kon_CTLA4_CD86*(syn_CD8_C1.CTLA4)*(syn_CD8_C1.CD86)  -  koff_CTLA4_CD86*syn_CD8_C1.CD86_CTLA4,,,"['koff_CTLA4_CD86']","[{""name"":""syn_CD8_C1.CD86"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD86 in synapse""},{""name"":""syn_CD8_C1.CD86_CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD86-CTLA4 complex""},{""name"":""syn_CD8_C1.CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_aCTLA4,syn_CD8_APC.CTLA4 <-> syn_CD8_APC.CTLA4_aCTLA4,4*kon_CTLA4_aCTLA4*(syn_CD8_APC.CTLA4 * V_LN.aCTLA4/gamma_LN_aCTLA4) -  koff_CTLA4_aCTLA4*syn_CD8_APC.CTLA4_aCTLA4,,,"['gamma_LN_aCTLA4','koff_CTLA4_aCTLA4']","[{""name"":""V_LN.aCTLA4"",""compartment"":""V_LN"",""notes"":""Concentration of aCTLA4 in lymph node compartment""},{""name"":""syn_CD8_APC.CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_APC.CTLA4_aCTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4-aCTLA4 complex""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_aCTLA4,syn_CD8_APC.CTLA4_aCTLA4 + syn_CD8_APC.CTLA4 <-> syn_CD8_APC.CTLA4_aCTLA4_CTLA4,2*Chi_CTLA4_aCTLA4*kon_CTLA4_aCTLA4*(syn_CD8_APC.CTLA4 * syn_CD8_APC.CTLA4_aCTLA4) -  2*koff_CTLA4_aCTLA4*syn_CD8_APC.CTLA4_aCTLA4_CTLA4,,,"['koff_CTLA4_aCTLA4','Chi_CTLA4_aCTLA4']","[{""name"":""syn_CD8_APC.CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_APC.CTLA4_aCTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4-aCTLA4 complex""},{""name"":""syn_CD8_APC.CTLA4_aCTLA4_CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4-aCTLA4-CTLA4 complex""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_aCTLA4,syn_CD8_C1.CTLA4 <-> syn_CD8_C1.CTLA4_aCTLA4,4*kon_CTLA4_aCTLA4*(syn_CD8_C1.CTLA4 * V_T.aCTLA4/gamma_T_aCTLA4) -  koff_CTLA4_aCTLA4*syn_CD8_C1.CTLA4_aCTLA4,,,"['gamma_T_aCTLA4','koff_CTLA4_aCTLA4']","[{""name"":""V_T.aCTLA4"",""compartment"":""V_T"",""notes"":""Concentration of aCTLA4 in tumour compartment""},{""name"":""syn_CD8_C1.CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_C1.CTLA4_aCTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4-aCTLA4 complex""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_CTLA4_aCTLA4,syn_CD8_C1.CTLA4_aCTLA4 + syn_CD8_C1.CTLA4 <-> syn_CD8_C1.CTLA4_aCTLA4_CTLA4,2*Chi_CTLA4_aCTLA4*kon_CTLA4_aCTLA4*(syn_CD8_C1.CTLA4 * syn_CD8_C1.CTLA4_aCTLA4) -  2*koff_CTLA4_aCTLA4*syn_CD8_C1.CTLA4_aCTLA4_CTLA4,,,"['koff_CTLA4_aCTLA4','Chi_CTLA4_aCTLA4']","[{""name"":""syn_CD8_C1.CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_C1.CTLA4_aCTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4-aCTLA4 complex""},{""name"":""syn_CD8_C1.CTLA4_aCTLA4_CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4-aCTLA4-CTLA4 complex""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_PD1_PDL1,syn_CD8_APC.PD1 + syn_CD8_APC.PDL1 <-> syn_CD8_APC.PD1_PDL1,kon_PD1_PDL1*(syn_CD8_APC.PD1)*(syn_CD8_APC.PDL1)  -  koff_PD1_PDL1*syn_CD8_APC.PD1_PDL1,,,"['koff_PD1_PDL1']","[{""name"":""syn_CD8_APC.PD1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PD1 in synapse""},{""name"":""syn_CD8_APC.PD1_PDL1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PD1-PDL1 complex""},{""name"":""syn_CD8_APC.PDL1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_PD1_PDL1,syn_CD8_C1.PD1 + syn_CD8_C1.PDL1 <-> syn_CD8_C1.PD1_PDL1,kon_PD1_PDL1*(syn_CD8_C1.PD1)*(syn_CD8_C1.PDL1)  -  koff_PD1_PDL1*syn_CD8_C1.PD1_PDL1,,,"['koff_PD1_PDL1']","[{""name"":""syn_CD8_C1.PD1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PD1 in synapse""},{""name"":""syn_CD8_C1.PD1_PDL1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PD1-PDL1 complex""},{""name"":""syn_CD8_C1.PDL1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
kon_PD1_PDL1,syn_M_C.PD1 + syn_M_C.PDL1 <-> syn_M_C.PD1_PDL1,kon_PD1_PDL1*(syn_M_C.PD1)*(syn_M_C.PDL1)  -  koff_PD1_PDL1*syn_M_C.PD1_PDL1,,,"['koff_PD1_PDL1']","[{""name"":""syn_M_C.PD1"",""compartment"":""syn_M_C"",""notes"":""concentration of PD1 in synapse""},{""name"":""syn_M_C.PD1_PDL1"",""compartment"":""syn_M_C"",""notes"":""concentration of PD1-PDL1 complex""},{""name"":""syn_M_C.PDL1"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
kon_PD1_PDL2,syn_CD8_APC.PD1 + syn_CD8_APC.PDL2 <-> syn_CD8_APC.PD1_PDL2,kon_PD1_PDL2*(syn_CD8_APC.PD1)*(syn_CD8_APC.PDL2)  -  koff_PD1_PDL2*syn_CD8_APC.PD1_PDL2,,,"['koff_PD1_PDL2']","[{""name"":""syn_CD8_APC.PD1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PD1 in synapse""},{""name"":""syn_CD8_APC.PD1_PDL2"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PD1-PDL2 complex""},{""name"":""syn_CD8_APC.PDL2"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL2 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
kon_PD1_PDL2,syn_CD8_C1.PD1 + syn_CD8_C1.PDL2 <-> syn_CD8_C1.PD1_PDL2,kon_PD1_PDL2*(syn_CD8_C1.PD1)*(syn_CD8_C1.PDL2)  -  koff_PD1_PDL2*syn_CD8_C1.PD1_PDL2,,,"['koff_PD1_PDL2']","[{""name"":""syn_CD8_C1.PD1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PD1 in synapse""},{""name"":""syn_CD8_C1.PD1_PDL2"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PD1-PDL2 complex""},{""name"":""syn_CD8_C1.PDL2"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL2 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
